gene_u,gene_v,bucket_pen,pen_diff,is_known,score,rank_in_bucket
MTOR,BAP1,3,1.5320887927266431,1,0.5018014,155
FOXO1,FOXP3,3,1.5750612575400016,1,0.6191505,49
UBE2I,FANCC,3,1.4754366094064115,1,0.42326945,222
FCGR2A,FCGR3A,3,1.5801729456246054,1,0.45051572,211
PIK3R5,CDK4,3,1.3381666885217207,1,0.5923451,60
CDKN1B,PTPRM,3,1.5239236537284873,1,0.42174444,223
BRAF,HERC2,3,1.472755398199153,1,0.52178997,130
MTOR,STK11,3,1.337009987761154,1,0.6112205,53
COMT,ACSS2,3,1.3898154799370896,1,0.6333658,40
GADD45A,BRCA2,3,1.3967491301687271,1,0.5581505,89
KDM5C,TSC2,3,1.3999327323192734,1,0.5082495,142
GRP,CDC25C,3,1.3126143041349856,1,0.48471794,180
ACTB,FOXO1,3,1.4023338665967344,1,0.4719253,194
GADD45A,EPHX1,3,1.3164251945100194,1,0.5504053,100
LRP2,GCLC,3,1.4065862597255163,1,0.56789386,77
