gene_u,gene_v,bucket_pen,pen_diff,dist_diff,ppr_diff,model_score,composite_score,novelty_weight,confidence,global_rank,rank_in_bucket
TNK2,TERF2IP,4,0.8268255766929347,0.5047445255474452,-0.0053371128970851,-2.8736387128073515,0.30939161434949325,1.0,High,112,112
YWHAB,TERF2IP,4,0.8267090248834332,0.5675638686131386,-0.004937600266618,-2.8736387128073515,0.30939161434949325,1.0,High,113,113
YWHAG,TERF2IP,4,0.8267090248834332,0.5675638686131386,-0.004937600266618,-2.8736387128073515,0.30939161434949325,1.0,High,114,114
DDX5,CDCA4,4,0.8268830025172544,0.646715328467153,-0.0129267967278974,-2.8736387128073515,0.30939161434949325,1.0,High,115,115
TERF2IP,YWHAE,4,0.8267095695951898,0.5675638686131386,-0.004937600266618,-2.8736387128073515,0.30939161434949325,1.0,High,116,116
RIT1,PPP5C,4,0.8258931106342651,0.5953010948905111,-0.0091230109606722,-2.8736387128073515,0.30939161434949325,1.0,High,117,117
ATRIP,RIT2,4,0.8267432076094536,0.4293339416058392,-0.0074497201024788,-2.8736387128073515,0.30939161434949325,1.0,High,118,118
ATRIP,RIT1,4,0.8267328807824015,0.4293339416058392,-0.0074497201024788,-2.8736387128073515,0.30939161434949325,1.0,High,119,119
DDX5,PPP2R2A,4,0.8250618309743061,0.547582116788321,-0.0135056116546133,-2.8736387128073515,0.30939161434949325,1.0,High,120,120
PPM1D,ETV1,4,0.8258452482152343,0.6240419708029199,-0.0092404797197815,-2.8736387128073515,0.30939161434949325,1.0,High,121,121
ETV5,FOXA1,4,0.8238850740725532,0.5002737226277372,-0.018703134797479,-2.8736387128073515,0.30939161434949325,1.0,High,122,122
RAP2B,RIT1,4,0.8226045268848168,0.4942974452554747,-0.0077297333416693,-2.8736387128073515,0.30939161434949325,1.0,High,123,123
RAP2B,RIT2,4,0.8226148537118707,0.4942974452554747,-0.0077297333416693,-2.8736387128073515,0.30939161434949325,1.0,High,124,124
TERF2IP,NBN,4,0.822665679032724,0.4423357664233576,-0.0048868641016772,-2.8736387128073515,0.30939161434949325,1.0,High,125,125
MAP2,PLCE1,4,0.8227423864152144,0.4956660583941605,-0.007883470458833,-2.8736387128073515,0.30939161434949325,1.0,High,126,126
BRAF,PHB2,4,0.8230917158420166,0.4774635036496351,-0.0092856041206084,-2.8736387128073515,0.30939161434949325,1.0,High,127,127
RAP2B,MAP2,4,0.8231904324681132,0.4942974452554747,-0.0077297333416693,-2.8736387128073515,0.30939161434949325,1.0,High,128,128
PAK2,TERF2IP,4,0.8233144451780525,0.6089416058394161,-0.005513220594284,-2.8736387128073515,0.30939161434949325,1.0,High,129,129
RAPGEF3,TERF2IP,4,0.8237964408038572,0.4479470802919709,-0.0055576876859094,-2.8736387128073515,0.30939161434949325,1.0,High,130,130
PPP2R1A,TLK1,4,0.8238133763875837,0.6552463503649633,-0.0107365452199101,-2.8736387128073515,0.30939161434949325,1.0,High,131,131
RAPGEF1,BRAF,4,0.8238659575785174,0.5030109489051093,-0.0100347005395653,-2.8736387128073515,0.30939161434949325,1.0,High,132,132
RRAS2,RIT1,4,0.824759041389834,0.6244525547445257,-0.0083771297758004,-2.8736387128073515,0.30939161434949325,1.0,High,133,133
DDX5,CHEK2,4,0.8258450191887228,0.5985857664233576,-0.0128485449516177,-2.8736387128073515,0.30939161434949325,1.0,High,134,134
RRAS2,RIT2,4,0.8247693682168897,0.6244525547445257,-0.0083771297758004,-2.8736387128073515,0.30939161434949325,1.0,High,135,135
RIT1,RRAS,4,0.8248592229604217,0.6244525547445257,-0.0083771297758004,-2.8736387128073515,0.30939161434949325,1.0,High,136,136
RRAS,RIT2,4,0.8248695497874756,0.6244525547445257,-0.0083771297758004,-2.8736387128073515,0.30939161434949325,1.0,High,137,137
CERK,ETV5,4,0.8250384021788495,0.4686587591240871,-0.0164502736964587,-2.8736387128073515,0.30939161434949325,1.0,High,138,138
GK,FOXA2,4,0.8271897618949273,0.5447992700729927,-0.0047831217330691,-2.8736387128073515,0.30939161434949325,1.0,High,139,139
TERF2IP,SOS2,4,0.825178079478393,0.4269160583941604,-0.005450478179091,-2.8736387128073515,0.30939161434949325,1.0,High,140,140
TERF2IP,ILF3,4,0.8251953493170312,0.5267791970802915,-0.0049806692319729,-2.8736387128073515,0.30939161434949325,1.0,High,141,141
RRAS2,MAP2,4,0.8253449469731304,0.6244525547445257,-0.0083771297758004,-2.8736387128073515,0.30939161434949325,1.0,High,142,142
RRAS,MAP2,4,0.8254451285437163,0.6244525547445257,-0.0083771297758004,-2.8736387128073515,0.30939161434949325,1.0,High,143,143
DDX5,CDK3,4,0.8255176267899333,0.6776916058394162,-0.0128700426585626,-2.8736387128073515,0.30939161434949325,1.0,High,144,144
DDX5,ARID3A,4,0.8271656625263315,0.6471715328467154,-0.0129267967278974,-2.8736387128073515,0.30939161434949325,1.0,High,145,145
